View# Bead# U  V
 0  0  213.207  198.891
 0  1  213.675  216.175
 0  2  222.618  233.605
 0  3  238.172  250.856
 0  4  258.437  267.851
 0  5  283.453  285.112
 0  6  310.935  302.381
 0  7  339.280  319.406
 0  8  368.198  336.531
 0  9  395.294  353.754
 0 10  421.127  370.569
 0 11  443.291  387.410
 0 12  459.804  404.243
 0 13  470.570  420.930
 0 14  473.165  437.647
 0 15  466.158  454.321
 0 16  449.894  471.132
 0 17  423.091  487.838
 0 18  387.829  504.694
 0 19  347.687  521.224
 0 20  306.789  538.243
 0 21  269.862  555.246
 0 22  241.492  572.622
 0 23  222.061  589.936
 1  0  288.475  199.204
 1  1  306.668  216.406
 1  2  329.719  233.795
 1  3  356.397  250.913
 1  4  385.371  268.072
 1  5  415.235  285.010
 1  6  445.236  301.968
 1  7  473.175  318.951
 1  8  498.994  335.824
 1  9  519.999  352.847
 1 10  536.281  369.630
 1 11  545.540  386.621
 1 12  545.777  403.517
 1 13  535.278  420.251
 1 14  514.500  437.140
 1 15  483.677  453.965
 1 16  444.658  470.908
 1 17  400.779  487.883
 1 18  358.803  504.903
 1 19  322.027  522.029
 1 20  294.671  539.122
 1 21  278.184  556.311
 1 22  271.811  573.571
 1 23  275.190  590.867
 2  0  371.955  198.989
 2  1  402.041  216.249
 2  2  434.586  233.380
 2  3  466.650  250.804
 2  4  498.627  268.076
 2  5  528.025  284.815
 2  6  554.566  301.836
 2  7  575.480  318.897
 2  8  589.749  335.861
 2  9  596.208  352.853
 2 10  592.191  369.751
 2 11  576.128  386.748
 2 12  547.939  403.666
 2 13  508.214  420.766
 2 14  460.218  437.533
 2 15  410.932  454.307
 2 16  365.869  471.178
 2 17  329.194  488.185
 2 18  305.600  505.286
 2 19  293.366  522.401
 2 20  293.014  539.718
 2 21  302.535  557.063
 2 22  319.393  574.340
 2 23  342.154  591.606
 3  0  439.487  198.291
 3  1  474.760  215.591
 3  2  508.699  233.031
 3  3  538.599  250.309
 3  4  564.150  267.713
 3  5  582.384  284.812
 3  6  592.812  302.029
 3  7  591.983  319.190
 3  8  578.047  336.162
 3  9  549.644  353.220
 3 10  506.524  370.096
 3 11  452.172  386.929
 3 12  394.456  403.711
 3 13  339.786  420.447
 3 14  295.953  437.244
 3 15  265.980  454.072
 3 16  251.101  471.078
 3 17  249.283  487.987
 3 18  258.707  504.919
 3 19  276.843  522.120
 3 20  302.196  539.380
 3 21  332.262  556.741
 3 22  365.860  574.179
 3 23  400.686  591.740
 4  0  464.432  198.738
 4  1  491.507  216.065
 4  2  510.987  233.411
 4  3  521.631  250.559
 4  4  519.926  267.776
 4  5  503.967  284.846
 4  6  471.402  301.880
 4  7  423.657  319.003
 4  8  364.083  335.978
 4  9  300.779  352.947
 4 10  242.411  369.774
 4 11  195.714  386.585
 4 12  166.981  403.406
 4 13  152.482  420.242
 4 14  153.276  437.153
 4 15  165.758  454.292
 4 16  186.686  471.504
 4 17  214.083  488.699
 4 18  246.625  505.945
 4 19  282.240  523.144
 4 20  319.873  540.480
 4 21  358.048  557.861
 4 22  395.240  575.350
 4 23  430.743  592.760
 5  0  248.986  198.612
 5  1  258.369  216.230
 5  2  275.166  233.722
 5  3  297.066  251.092
 5  4  322.139  268.374
 5  5  350.287  285.614
 5  6  379.757  302.722
 5  7  408.396  320.301
 5  8  436.382  337.356
 5  9  461.288  354.550
 5 10  483.295  371.415
 5 11  499.982  388.325
 5 12  509.576  405.203
 5 13  511.357  421.931
 5 14  503.215  438.783
 5 15  484.840  455.695
 5 16  456.305  472.653
 5 17  419.616  489.620
 5 18  378.689  506.407
 5 19  336.926  523.554
 5 20  300.621  540.816
 5 21  272.272  558.073
 5 22  254.348  575.244
 5 23  246.702  592.451
 6  0  331.053  198.847
 6  1  356.157  216.165
 6  2  384.622  233.863
 6  3  414.803  251.270
 6  4  445.742  268.629
 6  5  476.186  285.855
 6  6  505.422  302.883
 6  7  530.929  320.016
 6  8  552.686  337.056
 6  9  568.077  354.011
 6 10  576.035  370.932
 6 11  574.372  387.790
 6 12  562.093  404.666
 6 13  537.852  421.405
 6 14  503.062  438.171
 6 15  459.873  455.170
 6 16  414.177  472.101
 6 17  370.317  489.013
 6 18  333.512  506.102
 6 19  307.615  523.435
 6 20  292.741  540.735
 6 21  289.208  558.066
 6 22  295.604  575.421
 6 23  309.209  592.725
 7  0  410.969  198.593
 7  1  445.092  215.881
 7  2  479.199  233.452
 7  3  511.970  250.945
 7  4  542.099  268.415
 7  5  568.577  285.671
 7  6  588.769  302.677
 7  7  602.103  319.721
 7  8  605.616  336.639
 7  9  597.018  353.496
 7 10  576.292  370.329
 7 11  541.514  387.161
 7 12  495.810  403.875
 7 13  442.731  420.662
 7 14  388.968  437.499
 7 15  343.352  454.552
 7 16  309.490  471.313
 7 17  288.871  488.203
 7 18  280.570  505.292
 7 19  284.423  522.465
 7 20  298.156  539.704
 7 21  318.931  557.254
 7 22  345.301  574.718
 7 23  375.763  591.988
 8  0  461.073  198.824
 8  1  494.897  216.268
 8  2  524.164  233.819
 8  3  547.712  250.947
 8  4  563.352  268.193
 8  5  568.898  285.240
 8  6  560.779  302.337
 8  7  538.762  319.346
 8  8  501.170  336.211
 8  9  449.312  353.065
 8 10  387.561  369.800
 8 11  326.493  386.475
 8 12  274.552  403.216
 8 13  235.986  419.845
 8 14  213.652  436.629
 8 15  204.951  453.568
 8 16  210.163  470.458
 8 17  225.932  487.417
 8 18  249.282  504.475
 8 19  278.375  521.858
 8 20  312.066  539.200
 8 21  347.864  556.783
 8 22  385.248  574.365
 8 23  422.463  591.869
