View# Bead# U  V 
0  0  244.730  180.301
 0  1  243.487  197.122
 0  2  253.340  214.025
 0  3  271.904  230.823
 0  4  297.803  247.963
 0  5  328.221  264.864
 0  6  362.417  281.972
 0  7  397.719  299.301
 0  8  434.225  316.431
 0  9  469.544  333.866
 0 10  503.957  351.121
 0 11  534.027  368.311
 0 12  559.485  385.523
 0 13  578.062  402.479
 0 14  588.030  419.631
 0 15  586.810  436.745
 0 16  572.308  453.939
 0 17  542.772  470.985
 0 18  499.594  487.884
 0 19  444.500  504.618
 0 20  386.182  521.480
 0 21  331.403  538.165
 0 22  287.542  555.076
 0 23  258.306  571.865
 1  0  178.927  180.715
 1  1  206.370  197.588
 1  2  239.671  214.431
 1  3  275.170  231.320
 1  4  313.401  248.250
 1  5  351.441  265.190
 1  6  388.806  282.092
 1  7  424.486  299.178
 1  8  456.071  316.238
 1  9  482.737  333.428
 1 10  502.036  350.631
 1 11  512.920  368.029
 1 12  510.553  385.352
 1 13  493.508  402.598
 1 14  460.337  419.862
 1 15  412.004  437.116
 1 16  352.723  454.252
 1 17  288.785  471.432
 1 18  231.477  488.411
 1 19  186.774  505.352
 1 20  157.595  522.226
 1 21  144.137  539.119
 1 22  145.233  555.960
 1 23  157.704  572.776
 2  0  187.948  180.385
 2  1  224.097  197.452
 2  2  260.767  214.235
 2  3  296.750  231.146
 2  4  329.900  248.166
 2  5  359.823  265.067
 2  6  384.061  282.090
 2  7  400.453  299.279
 2  8  408.644  316.388
 2  9  404.098  333.733
 2 10  385.175  351.041
 2 11  350.990  368.371
 2 12  303.301  385.622
 2 13  245.677  402.854
 2 14  186.128  419.816
 2 15  132.646  436.948
 2 16   92.583  453.878
 2 17   67.131  470.918
 2 18   57.041  487.802
 2 19   59.554  504.915
 2 20   72.328  522.184
 2 21   94.024  539.264
 2 22  121.948  556.330
 2 23  153.480  573.297
 3  0  246.755  179.675
 3  1  277.036  196.394
 3  2  304.553  213.384
 3  3  326.189  230.392
 3  4  341.167  247.584
 3  5  348.380  264.677
 3  6  344.324  281.700
 3  7  327.795  298.925
 3  8  298.906  316.028
 3  9  258.208  333.182
 3 10  208.445  350.396
 3 11  157.198  367.557
 3 12  110.735  384.701
 3 13   72.977  401.915
