View# Bead# U  V
 0  0  109.074  160.271
 0  1  114.793  177.197
 0  2  127.734  194.159
 0  3  146.705  211.121
 0  4  170.786  228.131
 0  5  197.329  244.979
 0  6  226.393  262.067
 0  7  255.665  279.072
 0  8  284.548  296.251
 0  9  311.812  313.639
 0 10  336.215  330.655
 0 11  356.165  347.965
 0 12  370.016  365.150
 0 13  377.121  382.244
 0 14  374.854  399.274
 0 15  362.251  416.433
 0 16  339.300  433.201
 0 17  306.578  450.158
 0 18  266.937  466.934
 0 19  224.699  483.944
 0 20  184.566  500.779
 0 21  150.475  517.573
 0 22  126.282  534.424
 0 23  112.700  551.279
 1  0  207.991  160.865
 1  1  227.770  178.008
 1  2  252.049  195.193
 1  3  278.456  212.208
 1  4  306.909  229.189
 1  5  335.415  246.178
 1  6  363.490  263.016
 1  7  388.846  280.024
 1  8  411.481  296.939
 1  9  429.281  313.988
 1 10  441.182  330.858
 1 11  445.138  347.917
 1 12  440.155  365.001
 1 13  425.211  382.049
 1 14  399.946  399.042
 1 15  366.600  416.018
 1 16  327.250  433.021
 1 17  286.504  449.965
 1 18  249.842  466.991
 1 19  219.314  483.993
 1 20  198.354  501.087
 1 21  188.191  518.086
 1 22  187.160  535.124
 1 23  193.958  552.237
 2  0  330.916  161.763
 2  1  359.052  178.585
 2  2  387.981  195.599
 2  3  417.442  212.242
 2  4  445.424  228.961
 2  5  470.862  245.967
 2  6  492.921  262.813
 2  7  509.461  279.773
 2  8  519.431  296.285
 2  9  521.299  313.248
 2 10  513.632  330.255
 2 11  495.662  347.516
 2 12  467.218  364.546
 2 13  430.719  381.435
 2 14  388.631  398.745
 2 15  347.351  415.799
 2 16  310.887  432.965
 2 17  282.041  450.045
 2 18  263.840  467.103
 2 19  256.000  484.227
 2 20  257.737  501.338
 2 21  267.661  518.492
 2 22  284.398  535.681
 2 23  306.052  552.847
 3  0  451.108  160.394
 3  1  482.427  177.332
 3  2  511.944  194.142
 3  3  538.020  211.008
 3  4  559.963  227.909
 3  5  575.339  244.716
 3  6  583.293  261.608
 3  7  581.883  278.701
 3  8  569.972  295.830
 3  9  545.825  312.939
 3 10  510.249  329.989
 3 11  466.608  347.088
 3 12  420.197  364.126
 3 13  375.627  380.987
 3 14  338.088  398.025
 3 15  311.855  415.129
 3 16  296.843  432.317
 3 17  293.281  449.484
 3 18  299.964  466.693
 3 19  314.272  483.802
 3 20  334.878  500.958
 3 21  360.700  518.125
 3 22  389.057  535.439
 3 23  419.898  552.762
 4  0  541.993  159.379
 4  1  568.756  176.196
 4  2  589.097  193.159
 4  3  602.373  210.097
 4  4  605.542  227.017
 4  5  596.336  243.934
 4  6  574.738  260.806
 4  7  539.447  277.886
 4  8  492.293  294.780
 4  9  438.846  311.852
 4 10  384.687  328.868
 4 11  338.339  346.040
 4 12  304.732  363.293
 4 13  284.612  380.502
 4 14  276.723  397.709
 4 15  281.306  415.027
 4 16  295.591  432.342
 4 17  317.073  449.743
 4 18  343.784  466.992
 4 19  375.083  484.285
 4 20  408.283  501.662
 4 21  443.350  518.922
 4 22  477.735  536.083
 4 23  510.873  553.235
