View# Bead# U  V
 0  0  101.299  180.342
 0  1  109.726  196.742
 0  2  127.094  213.125
 0  3  152.194  229.510
 0  4  183.321  246.079
 0  5  217.598  262.639
 0  6  254.337  279.354
 0  7  291.917  296.581
 0  8  329.310  313.960
 0  9  365.212  331.514
 0 10  398.243  349.138
 0 11  426.799  366.698
 0 12  448.770  384.346
 0 13  462.374  401.943
 0 14  465.272  419.410
 0 15  453.514  436.773
 0 16  428.056  453.923
 0 17  386.388  471.068
 0 18  331.338  487.858
 0 19  269.142  504.502
 0 20  209.763  521.185
 0 21  159.937  537.614
 0 22  124.898  554.050
 0 23  105.510  570.355
 1  0   89.750  180.491
 1  1  118.440  197.034
 1  2  150.449  213.746
 1  3  185.474  230.160
 1  4  220.655  246.911
 1  5  255.746  263.389
 1  6  289.354  280.066
 1  7  319.991  297.022
 1  8  346.206  314.082
 1  9  366.111  331.334
 1 10  378.533  348.704
 1 11  380.065  366.301
 1 12  368.752  383.914
 1 13  343.815  401.493
 1 14  305.165  418.988
 1 15  254.998  436.445
 1 16  199.562  453.777
 1 17  146.020  470.883
 1 18  101.671  487.814
 1 19   69.394  504.601
 1 20   52.007  521.240
 1 21   47.631  537.857
 1 22   54.836  554.303
 1 23   69.757  570.867
 2  0  167.288  180.460
 2  1  199.061  196.947
 2  2  231.799  213.261
 2  3  262.161  229.476
 2  4  290.959  245.942
 2  5  315.795  262.529
 2  6  334.610  279.214
 2  7  346.929  296.180
 2  8  350.125  313.244
 2  9  342.326  330.604
 2 10  323.275  348.043
 2 11  292.436  365.551
 2 12  251.669  383.175
 2 13  203.831  400.701
 2 14  156.462  418.044
 2 15  114.937  435.487
 2 16   82.939  452.788
 2 17   63.084  469.913
 2 18   55.212  487.009
 2 19   57.914  504.067
 2 20   69.117  521.192
 2 21   88.177  537.903
 2 22  112.823  554.529
 2 23  140.620  571.056
 3  0  281.941  179.609
 3  1  309.741  195.845
 3  2  334.269  212.206
 3  3  354.660  228.573
 3  4  368.914  245.195
 3  5  376.173  261.843
 3  6  374.099  278.713
 3  7  361.566  295.771
 3  8  338.396  312.933
 3  9  305.958  330.266
 3 10  265.034  347.700
 3 11  222.174  365.487
 3 12  181.949  383.026
 3 13  147.419  400.753
 3 14  123.382  418.293
 3 15  109.378  435.850
 3 16  106.212  453.178
 3 17  112.361  470.458
 3 18  125.590  487.666
 3 19  145.142  504.775
 3 20  169.636  521.682
 3 21  196.619  538.585
 3 22  226.115  555.237
 3 23  255.980  571.550
 4  0  404.989  180.279
 4  1  423.008  196.584
 4  2  434.770  212.981
 4  3  438.598  229.303
 4  4  432.898  245.877
 4  5  417.668  262.438
 4  6  391.879  279.259
 4  7  358.067  296.338
 4  8  318.201  313.596
 4  9  277.485  330.958
 4 10  239.828  348.389
 4 11  209.469  365.996
 4 12  189.239  383.623
 4 13  179.002  401.262
 4 14  178.560  419.052
 4 15  186.761  436.814
 4 16  200.969  454.449
 4 17  221.591  471.989
 4 18  245.998  489.291
 4 19  272.998  506.430
 4 20  301.819  523.396
 4 21  330.497  540.029
 4 22  358.841  556.606
 4 23  384.699  573.041
 5  0   80.387  179.327
 5  1  101.715  195.946
 5  2  129.416  212.669
 5  3  161.377  229.230
 5  4  196.074  246.042
 5  5  232.973  262.760
 5  6  269.636  279.796
 5  7  305.700  296.940
 5  8  338.894  314.134
 5  9  368.812  331.696
 5 10  393.211  349.469
 5 11  410.093  367.077
 5 12  418.246  384.806
 5 13  413.930  402.429
 5 14  394.771  420.039
 5 15  361.520  437.282
 5 16  314.473  454.678
 5 17  256.873  471.929
